source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q001,A,Animals,0,Alligator,alligator,1,0,1,Q001::0
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q001,A,Animals,1,Aardvark,aardvark,1,1,0,Q001::1
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q001,A,Animals,2,Aardvark,aardvark,1,0,1,Q001::2
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q001,A,Animals,3,Aardvark,aardvark,1,0,1,Q001::3
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q001,A,Animals,4,Aardvark,aardvark,1,0,1,Q001::4
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q002,A,Jobs,0,Accountant,accountant,1,0,1,Q002::0
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q002,A,Jobs,1,Accountant,accountant,1,0,1,Q002::1
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q002,A,Jobs,2,Actor,actor,1,0,1,Q002::2
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q002,A,Jobs,3,Accountant,accountant,1,0,1,Q002::3
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q002,A,Jobs,4,Architect,architect,1,0,1,Q002::4
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q003,B,Fruits,0,Banana,banana,1,0,1,Q003::0
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q003,B,Fruits,1,Blueberry,blueberry,1,0,1,Q003::1
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q003,B,Fruits,2,Banana,banana,1,0,1,Q003::2
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q003,B,Fruits,3,Blueberry,blueberry,1,0,1,Q003::3
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q003,B,Fruits,4,Banana,banana,1,1,0,Q003::4
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q004,B,Things that are red,0,beets,beets,1,0,1,Q004::0
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q004,B,Things that are red,1,Blood,blood,1,0,1,Q004::1
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q004,B,Things that are red,2,Brick Red,brick red,1,0,1,Q004::2
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q004,B,Things that are red,3,Fire engines,fire engines,1,0,1,Q004::3
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q004,B,Things that are red,4,Bacon,bacon,0,0,0,Q004::4
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q005,C,Countries,0,Canada,canada,1,0,1,Q005::0
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q005,C,Countries,1,China,china,1,0,1,Q005::1
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q005,C,Countries,2,Canada,canada,1,0,1,Q005::2
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q005,C,Countries,3,Canada,canada,1,1,0,Q005::3
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q005,C,Countries,4,Canada,canada,1,0,1,Q005::4
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q006,C,Board games,0,Connect 4,connect 4,1,0,1,Q006::0
part3_crossplay_outputs/opt_20_llama.csv,opt_20_llama,Q006,C,Board games,1,Connect Four,connect four,1,0,1,Q006::1
