source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
outputs/default_09_Player_1.csv,default_09_Player_1,Q001,A,Animals,0,Antelope,antelope,1,0,1,Q001::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q001,A,Animals,1,Albatross,albatross,1,1,0,Q001::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q001,A,Animals,2,Ape,ape,1,0,1,Q001::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q001,A,Animals,3,Albatross,albatross,1,0,1,Q001::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q001,A,Animals,4,Antelope,antelope,1,1,0,Q001::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q002,A,Jobs,0,Apple,apple,0,0,0,Q002::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q002,A,Jobs,1,Accountant,accountant,1,0,1,Q002::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q002,A,Jobs,2,Accountant,accountant,1,0,1,Q002::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q002,A,Jobs,3,Actor,actor,1,0,1,Q002::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q002,A,Jobs,4,Actor,actor,1,0,1,Q002::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q003,B,Fruits,0,Banana,banana,1,0,1,Q003::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q003,B,Fruits,1,Banana,banana,1,1,0,Q003::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q003,B,Fruits,2,Banana,banana,1,0,1,Q003::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q003,B,Fruits,3,Banana,banana,1,1,0,Q003::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q003,B,Fruits,4,Banana,banana,1,1,0,Q003::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q004,B,Things that are red,0,Berries,berries,1,0,1,Q004::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q004,B,Things that are red,1,Berry,berry,1,0,1,Q004::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q004,B,Things that are red,2,Berry,berry,1,1,0,Q004::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q004,B,Things that are red,3,Berry,berry,1,1,0,Q004::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q004,B,Things that are red,4,Berry,berry,1,1,0,Q004::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q005,C,Countries,0,Canada,canada,1,1,0,Q005::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q005,C,Countries,1,Canada,canada,1,1,0,Q005::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q005,C,Countries,2,Canada,canada,1,1,0,Q005::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q005,C,Countries,3,Canada,canada,1,1,0,Q005::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q005,C,Countries,4,Canada,canada,1,1,0,Q005::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q006,C,Board games,0,Candy Land,candy land,0,0,0,Q006::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q006,C,Board games,1,Chess,chess,1,1,0,Q006::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q006,C,Board games,2,Chess,chess,1,1,0,Q006::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q006,C,Board games,3,Clue,clue,1,0,1,Q006::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q006,C,Board games,4,Chess,chess,1,1,0,Q006::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q007,D,Musical instruments,0,Didgeridoo,didgeridoo,1,1,0,Q007::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q007,D,Musical instruments,1,Didgeridoo,didgeridoo,1,0,1,Q007::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q007,D,Musical instruments,2,Didgeridoo,didgeridoo,1,1,0,Q007::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q007,D,Musical instruments,3,Didgeridoo,didgeridoo,1,1,0,Q007::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q007,D,Musical instruments,4,Didgeridoo,didgeridoo,1,0,1,Q007::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q008,D,Things in a bathroom,0,door,door,1,1,0,Q008::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q008,D,Things in a bathroom,1,door,door,1,0,1,Q008::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q008,D,Things in a bathroom,2,drawer,drawer,1,0,1,Q008::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q008,D,Things in a bathroom,3,door knob,door knob,1,0,1,Q008::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q008,D,Things in a bathroom,4,toothbrush,toothbrush,0,0,0,Q008::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q009,E,Sports,0,Equestrian,equestrian,1,1,0,Q009::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q009,E,Sports,1,Equestrian,equestrian,1,1,0,Q009::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q009,E,Sports,2,Equestrian,equestrian,1,1,0,Q009::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q009,E,Sports,3,Equestrian,equestrian,1,1,0,Q009::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q009,E,Sports,4,Equestrian,equestrian,1,1,0,Q009::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q010,E,Movie titles,0,Eternal Sunshine Of The Spotless Mind,eternal sunshine of the spotless mind,0,0,0,Q010::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q010,E,Movie titles,1,Election,election,1,0,1,Q010::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q010,E,Movie titles,2,Eyes Wide Shut,eyes wide shut,1,0,1,Q010::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q010,E,Movie titles,3,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,0,0,0,Q010::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q010,E,Movie titles,4,Elephant-Men,elephant-men,0,0,0,Q010::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q011,F,Fish,0,Flounder,flounder,1,1,0,Q011::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q011,F,Fish,1,Flounder,flounder,1,1,0,Q011::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q011,F,Fish,2,Flounder,flounder,1,1,0,Q011::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q011,F,Fish,3,Flounder,flounder,1,1,0,Q011::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q011,F,Fish,4,Flounder,flounder,1,1,0,Q011::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q012,F,Things in a backpack,0,flashlight,flashlight,1,1,0,Q012::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q012,F,Things in a backpack,1,flashlight,flashlight,1,1,0,Q012::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q012,F,Things in a backpack,2,flashlight,flashlight,1,1,0,Q012::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q012,F,Things in a backpack,3,flashlight,flashlight,1,1,0,Q012::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q012,F,Things in a backpack,4,flashlight,flashlight,1,1,0,Q012::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q013,G,U.S. states,0,Georgia,georgia,1,1,0,Q013::0
outputs/default_09_Player_1.csv,default_09_Player_1,Q013,G,U.S. states,1,Georgia,georgia,1,1,0,Q013::1
outputs/default_09_Player_1.csv,default_09_Player_1,Q013,G,U.S. states,2,Georgia,georgia,1,1,0,Q013::2
outputs/default_09_Player_1.csv,default_09_Player_1,Q013,G,U.S. states,3,Georgia,georgia,1,1,0,Q013::3
outputs/default_09_Player_1.csv,default_09_Player_1,Q013,G,U.S. states,4,Georgia,georgia,1,1,0,Q013::4
outputs/default_09_Player_1.csv,default_09_Player_1,Q014,G,Foods,0,Grapes,grapes,1,0,1,Q014::0
