question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Antelope,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q001,A,Animals,1,Albatross,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q001,A,Animals,2,Ape,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q001,A,Animals,3,Albatross,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q001,A,Animals,4,Antelope,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q002,A,Jobs,0,Apple,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q002,A,Jobs,1,Accountant,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q002,A,Jobs,2,Accountant,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q002,A,Jobs,3,Actor,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q002,A,Jobs,4,Actor,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q003,B,Fruits,0,Banana,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q003,B,Fruits,1,Banana,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q003,B,Fruits,2,Banana,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q003,B,Fruits,3,Banana,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q003,B,Fruits,4,Banana,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q004,B,Things that are red,0,Berries,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q004,B,Things that are red,1,Berry,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q004,B,Things that are red,2,Berry,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q004,B,Things that are red,3,Berry,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q004,B,Things that are red,4,Berry,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q005,C,Countries,0,Canada,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q005,C,Countries,1,Canada,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q005,C,Countries,2,Canada,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q005,C,Countries,3,Canada,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q005,C,Countries,4,Canada,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q006,C,Board games,0,Candy Land,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q006,C,Board games,1,Chess,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q006,C,Board games,2,Chess,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q006,C,Board games,3,Clue,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q006,C,Board games,4,Chess,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q007,D,Musical instruments,0,Didgeridoo,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q007,D,Musical instruments,1,Didgeridoo,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q007,D,Musical instruments,2,Didgeridoo,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q007,D,Musical instruments,3,Didgeridoo,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q007,D,Musical instruments,4,Didgeridoo,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q008,D,Things in a bathroom,0,door,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q008,D,Things in a bathroom,1,door,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q008,D,Things in a bathroom,2,drawer,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q008,D,Things in a bathroom,3,door knob,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q008,D,Things in a bathroom,4,toothbrush,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q009,E,Sports,0,Equestrian,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q009,E,Sports,1,Equestrian,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q009,E,Sports,2,Equestrian,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q009,E,Sports,3,Equestrian,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q009,E,Sports,4,Equestrian,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q010,E,Movie titles,0,Eternal Sunshine Of The Spotless Mind,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q010,E,Movie titles,1,Election,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q010,E,Movie titles,2,Eyes Wide Shut,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q010,E,Movie titles,3,Eternal Sunshine of the Spotless Mind,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q010,E,Movie titles,4,Elephant-Men,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q011,F,Fish,0,Flounder,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q011,F,Fish,1,Flounder,qwen2.5:7b,Player_1_default,0.9,40,baseline
Q011,F,Fish,2,Flounder,qwen2.5:7b,Player_1_default,0.9,40,baseline
