source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q001,A,Animals,0,Aardvark,aardvark,1,1,0,Q001::0
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q001,A,Animals,1,Aardvark,aardvark,1,0,1,Q001::1
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q001,A,Animals,2,Aardvark,aardvark,1,0,1,Q001::2
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q001,A,Animals,3,Aardvark,aardvark,1,1,0,Q001::3
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q001,A,Animals,4,Aardvark,aardvark,1,1,0,Q001::4
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q002,A,Jobs,0,Accountant,accountant,1,0,1,Q002::0
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q002,A,Jobs,1,Astronaut,astronaut,1,0,1,Q002::1
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q002,A,Jobs,2,Art Therapist,art therapist,1,0,1,Q002::2
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q002,A,Jobs,3,Astronaut,astronaut,1,0,1,Q002::3
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q002,A,Jobs,4,Accountant,accountant,1,0,1,Q002::4
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q003,B,Fruits,0,Blueberry,blueberry,1,1,0,Q003::0
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q003,B,Fruits,1,Blueberry,blueberry,1,0,1,Q003::1
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q003,B,Fruits,2,Banana,banana,1,0,1,Q003::2
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q003,B,Fruits,3,Banana,banana,1,0,1,Q003::3
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q003,B,Fruits,4,Blood orange,blood orange,1,0,1,Q003::4
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q004,B,Things that are red,0,Fire engine,fire engine,1,0,1,Q004::0
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q004,B,Things that are red,1,Blood,blood,0,0,0,Q004::1
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q004,B,Things that are red,2,Brandy,brandy,0,0,0,Q004::2
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q004,B,Things that are red,3,Brick,brick,1,1,0,Q004::3
part3_selfplay_outputs/self_opt_20_llama_Player_1.csv,self_opt_20_llama_Player_1,Q004,B,Things that are red,4,Bricks,bricks,1,0,1,Q004::4
