source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q001,A,Animals,0,Antelope,antelope,1,0,1,Q001::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q001,A,Animals,1,Alpaca,alpaca,1,0,1,Q001::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q001,A,Animals,2,Alpaca,alpaca,1,0,1,Q001::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q001,A,Animals,3,Antelope,antelope,1,0,1,Q001::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q001,A,Animals,4,Alpaca,alpaca,1,0,1,Q001::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q002,A,Jobs,0,Apple,apple,0,0,0,Q002::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q002,A,Jobs,1,Accountant,accountant,1,0,1,Q002::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q002,A,Jobs,2,Accountant,accountant,1,0,1,Q002::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q002,A,Jobs,3,Actor,actor,1,0,1,Q002::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q002,A,Jobs,4,accountant,accountant,1,0,1,Q002::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q003,B,Fruits,0,Banana,banana,1,0,1,Q003::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q003,B,Fruits,1,Blueberry,blueberry,1,0,1,Q003::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q003,B,Fruits,2,Banana,banana,1,0,1,Q003::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q003,B,Fruits,3,Banana,banana,1,1,0,Q003::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q003,B,Fruits,4,Banana,banana,1,0,1,Q003::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q004,B,Things that are red,0,Berries,berries,1,0,1,Q004::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q004,B,Things that are red,1,Berries,berries,1,0,1,Q004::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q004,B,Things that are red,2,Berries,berries,1,0,1,Q004::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q004,B,Things that are red,3,Berry,berry,1,0,1,Q004::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q004,B,Things that are red,4,Berry,berry,1,0,1,Q004::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q005,C,Countries,0,Canada,canada,1,0,1,Q005::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q005,C,Countries,1,Canada,canada,1,0,1,Q005::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q005,C,Countries,2,Canada,canada,1,0,1,Q005::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q005,C,Countries,3,Canada,canada,1,0,1,Q005::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q005,C,Countries,4,Canada,canada,1,1,0,Q005::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q006,C,Board games,0,Clue,clue,1,1,0,Q006::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q006,C,Board games,1,Chess,chess,1,0,1,Q006::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q006,C,Board games,2,Chess,chess,1,0,1,Q006::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q006,C,Board games,3,Chess,chess,1,0,1,Q006::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q006,C,Board games,4,Chess,chess,1,1,0,Q006::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q007,D,Musical instruments,0,drum,drum,1,0,1,Q007::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q007,D,Musical instruments,1,drum,drum,1,0,1,Q007::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q007,D,Musical instruments,2,Drum,drum,1,0,1,Q007::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q007,D,Musical instruments,3,drum,drum,1,0,1,Q007::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q007,D,Musical instruments,4,Drum,drum,1,0,1,Q007::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q008,D,Things in a bathroom,0,dishcloth,dishcloth,1,0,1,Q008::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q008,D,Things in a bathroom,1,dishSoap,dishsoap,0,0,0,Q008::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q008,D,Things in a bathroom,2,door knob,door knob,1,0,1,Q008::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q008,D,Things in a bathroom,3,door,door,1,0,1,Q008::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q008,D,Things in a bathroom,4,door knob,door knob,1,0,1,Q008::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q009,E,Sports,0,Equestrian,equestrian,1,1,0,Q009::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q009,E,Sports,1,Equestrian,equestrian,1,1,0,Q009::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q009,E,Sports,2,Equestrian,equestrian,1,1,0,Q009::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q009,E,Sports,3,Equestrian,equestrian,1,1,0,Q009::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q009,E,Sports,4,Equestrian,equestrian,1,1,0,Q009::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q010,E,Movie titles,0,EasyA,easya,0,0,0,Q010::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q010,E,Movie titles,1,Election,election,0,0,0,Q010::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q010,E,Movie titles,2,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,0,0,0,Q010::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q010,E,Movie titles,3,Eat Pray Love,eat pray love,1,0,1,Q010::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q010,E,Movie titles,4,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,0,0,0,Q010::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q011,F,Fish,0,Flounder,flounder,1,0,1,Q011::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q011,F,Fish,1,Flounder,flounder,1,0,1,Q011::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q011,F,Fish,2,Flounder,flounder,1,1,0,Q011::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q011,F,Fish,3,Flounder,flounder,1,0,1,Q011::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q011,F,Fish,4,Flounder,flounder,1,0,1,Q011::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q012,F,Things in a backpack,0,flashlight,flashlight,1,0,1,Q012::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q012,F,Things in a backpack,1,flashlight,flashlight,1,1,0,Q012::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q012,F,Things in a backpack,2,flashlight,flashlight,1,0,1,Q012::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q012,F,Things in a backpack,3,flashlight,flashlight,1,1,0,Q012::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q012,F,Things in a backpack,4,flashlight,flashlight,1,1,0,Q012::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q013,G,U.S. states,0,Georgia,georgia,1,1,0,Q013::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q013,G,U.S. states,1,Georgia,georgia,1,1,0,Q013::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q013,G,U.S. states,2,Georgia,georgia,1,1,0,Q013::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q013,G,U.S. states,3,Georgia,georgia,1,1,0,Q013::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q013,G,U.S. states,4,Georgia,georgia,1,1,0,Q013::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q014,G,Foods,0,Grilled Cheese Sandwich,grilled cheese sandwich,1,0,1,Q014::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q014,G,Foods,1,Grapes,grapes,1,0,1,Q014::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q014,G,Foods,2,Grapefruit,grapefruit,1,0,1,Q014::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q014,G,Foods,3,Grapes,grapes,1,0,1,Q014::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q014,G,Foods,4,Grapes,grapes,1,0,1,Q014::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q015,H,Famous scientists,0,Hawking,hawking,1,1,0,Q015::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q015,H,Famous scientists,1,Helen Harrison,helen harrison,0,0,0,Q015::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q015,H,Famous scientists,2,Hershel,hershel,0,0,0,Q015::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q015,H,Famous scientists,3,Helen Hayes,helen hayes,0,0,0,Q015::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q015,H,Famous scientists,4,Howard Hughes,howard hughes,0,0,0,Q015::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q016,H,Things at the beach,0,hat,hat,1,0,1,Q016::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q016,H,Things at the beach,1,hat,hat,1,0,1,Q016::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q016,H,Things at the beach,2,hat,hat,1,0,1,Q016::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q016,H,Things at the beach,3,hat,hat,1,0,1,Q016::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q016,H,Things at the beach,4,hat,hat,1,0,1,Q016::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q017,I,Cities,0,Istanbul,istanbul,0,0,0,Q017::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q017,I,Cities,1,Istanbul,istanbul,0,0,0,Q017::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q017,I,Cities,2,Istanbul,istanbul,0,0,0,Q017::2
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q017,I,Cities,3,Istanbul,istanbul,0,0,0,Q017::3
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q017,I,Cities,4,Istanbul,istanbul,0,0,0,Q017::4
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q018,I,Things in a classroom,0,Intercom,intercom,1,0,1,Q018::0
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q018,I,Things in a classroom,1,Intercom,intercom,1,0,1,Q018::1
part3_crossplay_outputs/default_09_qwen.csv,default_09_qwen,Q018,I,Things in a classroom,2,Intercom,intercom,1,0,1,Q018::2
