question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Armadillo,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q001,A,Animals,1,Alpaca,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q001,A,Animals,2,Alpaca,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q001,A,Animals,3,Alpaca,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q001,A,Animals,4,Antelope,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q002,A,Jobs,0,Air traffic controller,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q002,A,Jobs,1,accountant,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q002,A,Jobs,2,Aircraft pilot,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q002,A,Jobs,3,Architect,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q002,A,Jobs,4,Accountant,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q003,B,Fruits,0,Banana,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q003,B,Fruits,1,blackberries,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q003,B,Fruits,2,Blackberry,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q003,B,Fruits,3,Blackberry,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q003,B,Fruits,4,Boysenberry,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q004,B,Things that are red,0,Barbie,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q004,B,Things that are red,1,Banana,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q004,B,Things that are red,2,Bloodshed,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q004,B,Things that are red,3,Banana,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q004,B,Things that are red,4,Balloon,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q005,C,Countries,0,Canada,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q005,C,Countries,1,China,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q005,C,Countries,2,Cambodia,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q005,C,Countries,3,Canada,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q005,C,Countries,4,China,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q006,C,Board games,0,Clue,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q006,C,Board games,1,Clue,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q006,C,Board games,2,CandyLand,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q006,C,Board games,3,Connect4,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q006,C,Board games,4,Clue,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q007,D,Musical instruments,0,Drum,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q007,D,Musical instruments,1,Trumpet,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q007,D,Musical instruments,2,Drums,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q007,D,Musical instruments,3,Didgeridoo,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q007,D,Musical instruments,4,Didgeridoo,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,0,Drawer,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,1,Drainer,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,2,Drain,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,3,Drain,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,4,Drawer,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q009,E,Sports,0,Equestrian,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q009,E,Sports,1,Equestrian,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q009,E,Sports,2,Equestrian,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q009,E,Sports,3,Equestrian,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q009,E,Sports,4,Equestrian,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q010,E,Movie titles,0,Edward Scissorhands,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q010,E,Movie titles,1,Edward Scissorhands,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q010,E,Movie titles,2,Edward Scissorhands,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q010,E,Movie titles,3,Edward Scissorhands,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q010,E,Movie titles,4,Edward Scissorhands,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q011,F,Fish,0,Flounder,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q011,F,Fish,1,Fluke,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q011,F,Fish,2,Fluke,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q011,F,Fish,3,Flatfish,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q011,F,Fish,4,flounder,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q012,F,Things in a backpack,0,flashlight,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q012,F,Things in a backpack,1,Flashlight,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q012,F,Things in a backpack,2,Fanny pack,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q012,F,Things in a backpack,3,Flashlight,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q012,F,Things in a backpack,4,Flashlight,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q013,G,U.S. states,0,Georgia,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q013,G,U.S. states,1,Georgia,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q013,G,U.S. states,2,Georgia,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q013,G,U.S. states,3,Georgia,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q013,G,U.S. states,4,Georgia,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
Q014,G,Foods,0,Ginger,gemma2:2b,gemma_Player_2_default_09,0.9,40,baseline
