question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q001,A,Animals,1,Aakashis,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q001,A,Animals,2,Aok,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q001,A,Animals,3,Aepycamel,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q001,A,Animals,4,Aye-aye,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q002,A,Jobs,0,Autopilot technician,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q002,A,Jobs,1,Ant farm manager,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q002,A,Jobs,2,Aquamarine geode technician,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q002,A,Jobs,3,Antacid Formulator,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q002,A,Jobs,4,Aquaponics Technician,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q003,B,Fruits,0,Brucea javanica,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q003,B,Fruits,1,Bog melon,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q003,B,Fruits,2,Black Sapote,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q003,B,Fruits,3,Bogonion,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q003,B,Fruits,4,Blackberry,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q004,B,Things that are red,0,Bedpost,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q004,B,Things that are red,1,Beribbon,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q004,B,Things that are red,2,Barnacle,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q004,B,Things that are red,3,Brass Bedspread,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q004,B,Things that are red,4,Bog nail,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q005,C,Countries,0,C**o*,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q005,C,Countries,1,Cabo Verde,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q005,C,Countries,2,San Marino,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q005,C,Countries,3,Cook Islands,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q005,C,Countries,4,Comoros,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q006,C,Board games,0,Camelot,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q006,C,Board games,1,Conquistadors,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q006,C,Board games,2,CardCastle,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q006,C,Board games,3,Castle Cryer,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q006,C,Board games,4,Chesscraft,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,0,Dulcimer,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,1,Didgeridoo,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,2,dulcimer,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,3,Darbouka,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,4,Dragoman,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,Dynema,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,1,Detritus  bowl,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,2,Dewpoint indicator,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,3,Dental mirror,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,4,Draining tube,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q009,E,Sports,0,Equechua,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q009,E,Sports,1,Equeenes,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q009,E,Sports,2,Eskrima,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q009,E,Sports,3,Egliott',gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q009,E,Sports,4,Egoscue,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q010,E,Movie titles,0,Eden's Gate,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q010,E,Movie titles,1,Elvenking,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q010,E,Movie titles,2,Edward's Lament,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q010,E,Movie titles,3,Electric Mayhem,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q010,E,Movie titles,4,El Dorado's Secret,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q011,F,Fish,0,Finfish,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q011,F,Fish,1,Frigatilla,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q011,F,Fish,2,Fox-faced fish,gemma2:2b,gemma_obscure_20,2.0,40,baseline
Q011,F,Fish,3,Fannet,gemma2:2b,gemma_obscure_20,2.0,40,baseline
