question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q001,A,Animals,1,Aardvark,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q001,A,Animals,2,Alpaca,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q001,A,Animals,3,Alligator,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q001,A,Animals,4,Ape,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q002,A,Jobs,0,Air traffic controller,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q002,A,Jobs,1,Auctioneer,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q002,A,Jobs,2,Actuary,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q002,A,Jobs,3,Astronomer,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q002,A,Jobs,4,Aircraft mechanic,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q003,B,Fruits,0,blackberry,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q003,B,Fruits,1,blackberry,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q003,B,Fruits,2,blackberry,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q003,B,Fruits,3,Banana,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q003,B,Fruits,4,Banana,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q004,B,Things that are red,0,Bananas,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q004,B,Things that are red,1,Banana,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q004,B,Things that are red,2,Barbell,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q004,B,Things that are red,3,Bulldozer,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q004,B,Things that are red,4,Beret,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q005,C,Countries,0,Cuba,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q005,C,Countries,1,Cameroon,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q005,C,Countries,2,China,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q005,C,Countries,3,Canada,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q005,C,Countries,4,Cambodia,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q006,C,Board games,0,Catan,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q006,C,Board games,1,Candy Land,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q006,C,Board games,2,Cluedo,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q006,C,Board games,3,Charades,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q006,C,Board games,4,Checkers,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q007,D,Musical instruments,0,Darbuka,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q007,D,Musical instruments,1,Drums,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q007,D,Musical instruments,2,Drums,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q007,D,Musical instruments,3,Drums,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q007,D,Musical instruments,4,Didgeridoo,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,Drawer,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,1,Drainer,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,2,Drain,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,3,Toothpaste,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,4,Drain,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q009,E,Sports,0,equestrian,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q009,E,Sports,1,Equestrian,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q009,E,Sports,2,Equestrian,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q009,E,Sports,3,Equestrian,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q009,E,Sports,4,Equestrian,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q010,E,Movie titles,0,Eternal sunshine,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q010,E,Movie titles,1,Edward Scissorhands,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q010,E,Movie titles,2,Edward Scissorhands,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q010,E,Movie titles,3,Eat Pray Love,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q010,E,Movie titles,4,Edward Scissorhands,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q011,F,Fish,0,flounder,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q011,F,Fish,1,flounder,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q011,F,Fish,2,Flasher,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q011,F,Fish,3,Farmed Eel,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q011,F,Fish,4,Fiddler,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,0,Fannypack,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,1,flashlight,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,2,First aid kit,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,3,Fannypack,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,4,First aid kit,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q013,G,U.S. states,0,Georgia,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q013,G,U.S. states,1,Georgia,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q013,G,U.S. states,2,Georgia,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q013,G,U.S. states,3,Georgia,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q013,G,U.S. states,4,Georgia,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q014,G,Foods,0,Guava,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q014,G,Foods,1,Grapes,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q014,G,Foods,2,Grapefruit,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q014,G,Foods,3,Garlic,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q014,G,Foods,4,grape,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q015,H,Famous scientists,0,Hawkins,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q015,H,Famous scientists,1,Hans christian Anderson,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q015,H,Famous scientists,2,Hans christian Anders,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q015,H,Famous scientists,3,Hawkins,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q015,H,Famous scientists,4,Hempel,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q016,H,Things at the beach,0,Hibiscus,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q016,H,Things at the beach,1,Hourglass,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q016,H,Things at the beach,2,Hammock,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q016,H,Things at the beach,3,Haluu,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q016,H,Things at the beach,4,House,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q017,I,Cities,0,Istanbul,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q017,I,Cities,1,Istanbul,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q017,I,Cities,2,Istanbul,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q017,I,Cities,3,Inverness,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q017,I,Cities,4,Istanbul,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,0,Instagraph,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,1,iPads,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,2,iPad,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,3,Irons,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,4,i-pad,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q019,J,Car brands,0,Jeep,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q019,J,Car brands,1,Jaguar,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q019,J,Car brands,2,Jeep,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q019,J,Car brands,3,Jaguar,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q019,J,Car brands,4,Jaguar,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q020,J,Video game titles,0,jetsetradio,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q020,J,Video game titles,1,Just Shapes and Beats,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q020,J,Video game titles,2,Jet Set Radio,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q020,J,Video game titles,3,Jet Set Radio,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q020,J,Video game titles,4,Jak 2,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q021,K,Superheroes,0,krypto,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q021,K,Superheroes,1,Katana,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q021,K,Superheroes,2,Kingpin,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q021,K,Superheroes,3,Kamandi,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q021,K,Superheroes,4,kyrie,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,0,Kidney,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,1,Kitchenaid,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,2,Kenner's,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,3,Kernel,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,4,Kenner,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q023,L,Dog breeds,0,Labrador,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q023,L,Dog breeds,1,Labrador,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q023,L,Dog breeds,2,labrador,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q023,L,Dog breeds,3,Labrador,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q023,L,Dog breeds,4,Lagotto  reud,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q024,L,Books,0,little prince,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q024,L,Books,1,Legends,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q024,L,Books,2,Leviathan,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q024,L,Books,3,life on mars,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q024,L,Books,4,Little Women,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q025,M,Languages,0,Malay,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q025,M,Languages,1,maltese,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q025,M,Languages,2,Malayalam,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q025,M,Languages,3,Malagasy,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q025,M,Languages,4,Maltese,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q026,M,Clothing items,0,Maternity Dress,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q026,M,Clothing items,1,Mittens,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q026,M,Clothing items,2,Mufflers,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q026,M,Clothing items,3,Moccasin,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q026,M,Clothing items,4,sobretudo,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q027,N,Birds,0,NorthernFlicker,gemma2:2b,gemma_opt_20,2.0,40,baseline
Q027,N,Birds,1,Nightingale,gemma2:2b,gemma_opt_20,2.0,40,baseline
