source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q001,A,Animals,0,Aligatorfish,aligatorfish,0,0,0,Q001::0
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q001,A,Animals,1,Aye-aye,aye-aye,1,0,1,Q001::1
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q001,A,Animals,2,Aardvark,aardvark,1,0,1,Q001::2
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q001,A,Animals,3,Affenpinscher,affenpinscher,1,0,1,Q001::3
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q001,A,Animals,4,Aardvark,aardvark,1,0,1,Q001::4
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q002,A,Jobs,0,Auroragronomist,auroragronomist,0,0,0,Q002::0
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q002,A,Jobs,1,Acupuncturist,acupuncturist,1,0,1,Q002::1
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q002,A,Jobs,2,Archeologist  Cartographer,archeologist cartographer,0,0,0,Q002::2
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q002,A,Jobs,3,Aural therapist,aural therapist,0,0,0,Q002::3
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q002,A,Jobs,4,Accountability Manager,accountability manager,0,0,0,Q002::4
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q003,B,Fruits,0,Bogonia,bogonia,0,0,0,Q003::0
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q003,B,Fruits,1,Banyan,banyan,0,0,0,Q003::1
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q003,B,Fruits,2,Bunya,bunya,0,0,0,Q003::2
part3_selfplay_outputs/self_obscure_20_gemma_Player_1_Obscure.csv,self_obscure_20_gemma_Player_1_Obscure,Q003,B,Fruits,3,Brazilian guava,brazilian guava,0,0,0,Q003::3
