question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aligatorfish,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,1,Aye-aye,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,2,Aardvark,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,3,Affenpinscher,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,4,Aardvark,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,0,Auroragronomist,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,1,Acupuncturist,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,2,Archeologist  Cartographer,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,3,Aural therapist,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,4,Accountability Manager,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,0,Bogonia,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,1,Banyan,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,2,Bunya,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,3,Brazilian guava,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,4,Botibong,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,0,Boreal mushroom,gemma2:2b,gemma_Player_1_Obscure_obscure_20,2.0,40,baseline
