source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q001,A,Animals,0,Aardvark,aardvark,1,1,0,Q001::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q001,A,Animals,1,Aardvark,aardvark,1,1,0,Q001::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q001,A,Animals,2,Aardvark,aardvark,1,1,0,Q001::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q001,A,Animals,3,Aardvark,aardvark,1,1,0,Q001::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q001,A,Animals,4,Aardvark,aardvark,1,1,0,Q001::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q002,A,Jobs,0,Astronaut,astronaut,1,0,1,Q002::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q002,A,Jobs,1,Actuary,actuary,1,0,1,Q002::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q002,A,Jobs,2,Astronaut,astronaut,1,0,1,Q002::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q002,A,Jobs,3,Architect,architect,1,0,1,Q002::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q002,A,Jobs,4,Architect,architect,1,0,1,Q002::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q003,B,Fruits,0,Banana,banana,1,0,1,Q003::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q003,B,Fruits,1,Blueberry,blueberry,1,0,1,Q003::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q003,B,Fruits,2,Blood orange,blood orange,1,0,1,Q003::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q003,B,Fruits,3,Blood orange,blood orange,1,0,1,Q003::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q003,B,Fruits,4,Boysenberry,boysenberry,1,0,1,Q003::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q004,B,Things that are red,0,Beets,beets,1,0,1,Q004::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q004,B,Things that are red,1,Brick,brick,1,0,1,Q004::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q004,B,Things that are red,2,Bricks,bricks,1,0,1,Q004::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q004,B,Things that are red,3,Beets,beets,1,0,1,Q004::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q004,B,Things that are red,4,Blood,blood,0,0,0,Q004::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q005,C,Countries,0,Canada,canada,1,1,0,Q005::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q005,C,Countries,1,Canada,canada,1,1,0,Q005::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q005,C,Countries,2,Canada,canada,1,1,0,Q005::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q005,C,Countries,3,Canada,canada,1,0,1,Q005::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q005,C,Countries,4,China,china,1,0,1,Q005::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q006,C,Board games,0,Carcassonne,carcassonne,1,0,1,Q006::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q006,C,Board games,1,Carcassonne,carcassonne,1,1,0,Q006::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q006,C,Board games,2,Carcassonne,carcassonne,1,1,0,Q006::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q006,C,Board games,3,Carcassonne,carcassonne,1,0,1,Q006::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q006,C,Board games,4,Carcassonne,carcassonne,1,0,1,Q006::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q007,D,Musical instruments,0,Drums,drums,1,0,1,Q007::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q007,D,Musical instruments,1,Dulcimer,dulcimer,1,0,1,Q007::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q007,D,Musical instruments,2,Drums,drums,1,1,0,Q007::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q007,D,Musical instruments,3,Drums,drums,1,1,0,Q007::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q007,D,Musical instruments,4,Drums,drums,1,1,0,Q007::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q008,D,Things in a bathroom,0,Drain,drain,1,1,0,Q008::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q008,D,Things in a bathroom,1,Drain,drain,1,1,0,Q008::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q008,D,Things in a bathroom,2,Damp cloth,damp cloth,1,0,1,Q008::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q008,D,Things in a bathroom,3,Dish soap,dish soap,1,0,1,Q008::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q008,D,Things in a bathroom,4,Dish soap,dish soap,1,0,1,Q008::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q009,E,Sports,0,Equestrian,equestrian,1,1,0,Q009::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q009,E,Sports,1,Equestrian,equestrian,1,1,0,Q009::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q009,E,Sports,2,Equestrian,equestrian,1,1,0,Q009::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q009,E,Sports,3,Equestrian,equestrian,1,1,0,Q009::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q009,E,Sports,4,Equestrian,equestrian,1,1,0,Q009::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q010,E,Movie titles,0,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,1,0,1,Q010::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q010,E,Movie titles,1,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,1,1,0,Q010::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q010,E,Movie titles,2,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,1,1,0,Q010::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q010,E,Movie titles,3,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,1,0,1,Q010::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q010,E,Movie titles,4,Eternal Sunshine of the Spotless Mind,eternal sunshine of the spotless mind,1,1,0,Q010::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q011,F,Fish,0,Flounder,flounder,1,1,0,Q011::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q011,F,Fish,1,Flounder,flounder,1,1,0,Q011::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q011,F,Fish,2,Flounder,flounder,1,1,0,Q011::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q011,F,Fish,3,Flounder,flounder,1,1,0,Q011::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q011,F,Fish,4,Flounder,flounder,1,1,0,Q011::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q012,F,Things in a backpack,0,Folder,folder,1,1,0,Q012::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q012,F,Things in a backpack,1,Folder,folder,1,1,0,Q012::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q012,F,Things in a backpack,2,Folder,folder,1,0,1,Q012::2
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q012,F,Things in a backpack,3,Folder,folder,1,1,0,Q012::3
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q012,F,Things in a backpack,4,Folder,folder,1,1,0,Q012::4
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q013,G,U.S. states,0,Georgia,georgia,1,1,0,Q013::0
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q013,G,U.S. states,1,Georgia,georgia,1,1,0,Q013::1
part3_selfplay_outputs/self_default_09_llama_Player_1.csv,self_default_09_llama_Player_1,Q013,G,U.S. states,2,Georgia,georgia,1,1,0,Q013::2
