question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Alligator,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q001,A,Animals,1,Aardvark,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q001,A,Animals,2,Aardvark,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q001,A,Animals,3,Aardvark,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q001,A,Animals,4,Aardvark,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q002,A,Jobs,0,Accountant,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q002,A,Jobs,1,Accountant,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q002,A,Jobs,2,Actor,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q002,A,Jobs,3,Accountant,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q002,A,Jobs,4,Architect,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q003,B,Fruits,0,Banana,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q003,B,Fruits,1,Blueberry,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q003,B,Fruits,2,Banana,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q003,B,Fruits,3,Blueberry,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q003,B,Fruits,4,Banana,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q004,B,Things that are red,0,beets,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q004,B,Things that are red,1,Blood,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q004,B,Things that are red,2,Brick Red,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q004,B,Things that are red,3,Fire engines,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q004,B,Things that are red,4,Bacon,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q005,C,Countries,0,Canada,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q005,C,Countries,1,China,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q005,C,Countries,2,Canada,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q005,C,Countries,3,Canada,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q005,C,Countries,4,Canada,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q006,C,Board games,0,Connect 4,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q006,C,Board games,1,Connect Four,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q006,C,Board games,2,Carcassonne,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q006,C,Board games,3,Carcassonne,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q006,C,Board games,4,Codenames,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q007,D,Musical instruments,0,Drums,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q007,D,Musical instruments,1,Double Bass,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q007,D,Musical instruments,2,Dulcimer,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q007,D,Musical instruments,3,Drums,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q007,D,Musical instruments,4,Double bass,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,Dishwasher,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,1,Drainer,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,2,Drink Mixer,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,3,Dish Soap,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,4,Detergent,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q009,E,Sports,0,Extreme,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q009,E,Sports,1,Extreme Skiing,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q009,E,Sports,2,Equestrian,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q009,E,Sports,3,Equitation,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q009,E,Sports,4,Extreme skiing,llama3.2:3b,llama_opt_20,2.0,40,baseline
Q010,E,Movie titles,0,Edward Scissorhands,llama3.2:3b,llama_opt_20,2.0,40,baseline
