question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Axolotl,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q001,A,Animals,1,Acanthostega,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q001,A,Animals,2,Ailurus fulgens,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q001,A,Animals,3,Ailuravidae,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q001,A,Animals,4,Acanthocyon,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q002,A,Jobs,0,Actuarial Statistician,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q002,A,Jobs,1,Arboreanist,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q002,A,Jobs,2,Anthropogenic Soils Specialist,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q002,A,Jobs,3,Achromatopsiologist,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q002,A,Jobs,4,Alpinist,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q003,B,Fruits,0,Baelberry,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q003,B,Fruits,1,Bird's Eye Cherry,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q003,B,Fruits,2,Berimbau Fruit,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q003,B,Fruits,3,Yubari King,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q003,B,Fruits,4,Boysenberry,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q004,B,Things that are red,0,Bloodstone,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q004,B,Things that are red,1,Bleached cork,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q004,B,Things that are red,2,Bloodroot,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q004,B,Things that are red,3,Brandywine berries,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q004,B,Things that are red,4,Bergamot,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q005,C,Countries,0,Cabinda,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q005,C,Countries,1,Central African Republic,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q005,C,Countries,2,Cambodia,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q005,C,Countries,3,Curaçao,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q005,C,Countries,4,Congo,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q006,C,Board games,0,Chicagodollie,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q006,C,Board games,1,Calimera,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q006,C,Board games,2,Castle Grande,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q006,C,Board games,3,Cartas de Cuchillos,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q006,C,Board games,4,Cyclades,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,0,Darbuka,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,1,Dulcimer,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,2,Didgeridoo,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,3,Darbuka,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,4,Danhu,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,Depilatory,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,1,Deodorizer sprays for specific areas,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,2,Dermatological scales remover,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,3,Divot hole cleaner,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,4,Dental dam,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q009,E,Sports,0,Escrime,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q009,E,Sports,1,Equestrinity,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q009,E,Sports,2,Ecosports,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q009,E,Sports,3,Estafeta,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q009,E,Sports,4,Ekwe,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q010,E,Movie titles,0,Eastern Promises,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q010,E,Movie titles,1,Eye of Vorgan,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q010,E,Movie titles,2,eXistenZ,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q010,E,Movie titles,3,End of Stalemate,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q010,E,Movie titles,4,elevator to the gallows,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q011,F,Fish,0,Frilled Shark,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q011,F,Fish,1,Flabellina,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q011,F,Fish,2,Fijibenchfish,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q011,F,Fish,3,Frilled Shark,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q011,F,Fish,4,Frillabesia,llama3.2:3b,llama_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,0,Fuel injectors,llama3.2:3b,llama_obscure_20,2.0,40,baseline
