temperature,answer,raw
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
0.1,blueberry,blueberry
