question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,1,Aardvark,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,2,Aardvark,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,3,Aardvark,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,4,Albino anteater,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,0,Alchemist,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,1,Amber miner,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,2,Archivist,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,3,Archivist,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,4,Alabaster cutter,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,0,Bacuri,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,1,Bacanora,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,2,Bunchosia,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,3,Bababafruit,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,4,Bammy,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,0,Blood orange bouquet,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,1,Bloodwood fruit,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,2,Bloodberry,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,3,Bloodwood fruit,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,4,Bloodroot flower,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,0,Cycladic Islands,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,1,Cocos (Keeling) Islands,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,2,Cocos (Keeling) Islands,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,3,Comoros,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,4,Comoros,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,0,Carcassonne,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,1,Crystal Castle,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,2,Clouzd Dice Quest,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,3,Crystal Bards Chess,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,4,Cloudburst,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,0,Didgeridoo,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,1,Daf<<(Persian frame drum>>,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,2,Duduk,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,3,Didgeridoo,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,4,Dafli,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,Durian soap,qwen2.5:7b,qwen_Player_2_Obscure_obscure_20,2.0,40,baseline
