temperature,raw,answer,iteration
0.1,Saturday,saturday,1
0.1,Saturday,saturday,2
0.1,Saturday,saturday,3
0.1,Saturday,saturday,4
0.1,Saturday,saturday,5
0.1,Sunday,sunday,6
0.1,Saturday,saturday,7
0.1,Saturday,saturday,8
0.1,Saturday,saturday,9
0.1,Saturday,saturday,10
0.1,Saturday,saturday,11
0.1,Saturday,saturday,12
0.1,Saturday,saturday,13
0.1,Saturday,saturday,14
0.1,Saturday,saturday,15
0.1,Saturday,saturday,16
0.1,Saturday,saturday,17
0.1,Saturday,saturday,18
0.1,Saturday,saturday,19
0.1,Saturday,saturday,20
0.1,Saturday,saturday,21
0.1,Saturday,saturday,22
0.1,Sunday,sunday,23
0.1,Saturday,saturday,24
0.1,Saturday,saturday,25
0.1,Saturday,saturday,26
0.1,Saturday,saturday,27
0.1,Saturday,saturday,28
0.1,Saturday,saturday,29
0.1,Saturday,saturday,30
0.1,Sunday,sunday,31
0.1,Saturday,saturday,32
0.1,Saturday,saturday,33
0.1,Saturday,saturday,34
0.1,Saturday,saturday,35
0.1,Saturday,saturday,36
0.1,Saturday,saturday,37
0.1,Saturday,saturday,38
0.1,Sunday,sunday,39
0.1,Saturday,saturday,40
0.1,Saturday,saturday,41
0.1,Saturday,saturday,42
0.1,Saturday,saturday,43
0.1,Saturday,saturday,44
0.1,Saturday,saturday,45
0.1,Saturday,saturday,46
0.1,Saturday,saturday,47
0.1,Saturday,saturday,48
0.1,Saturday,saturday,49
0.1,Saturday,saturday,50
0.5,Saturday,saturday,1
0.5,Saturday,saturday,2
0.5,Sunday,sunday,3
0.5,Saturday,saturday,4
0.5,Saturday,saturday,5
0.5,Saturday,saturday,6
0.5,Saturday,saturday,7
0.5,Saturday,saturday,8
0.5,Saturday,saturday,9
0.5,Saturday,saturday,10
0.5,Sunday,sunday,11
0.5,Saturday,saturday,12
0.5,Saturday,saturday,13
0.5,Sunday,sunday,14
0.5,Sunday,sunday,15
0.5,Saturday,saturday,16
0.5,Sunday,sunday,17
0.5,Saturday,saturday,18
0.5,Saturday,saturday,19
0.5,Sunday,sunday,20
0.5,Saturday,saturday,21
0.5,Saturday,saturday,22
0.5,Saturday,saturday,23
0.5,Saturday,saturday,24
0.5,Saturday,saturday,25
0.5,Saturday,saturday,26
0.5,Sunday,sunday,27
0.5,Saturday,saturday,28
0.5,Sunday,sunday,29
0.5,Sunday,sunday,30
0.5,Saturday,saturday,31
0.5,Sunday,sunday,32
0.5,Sunday,sunday,33
0.5,Saturday,saturday,34
0.5,Saturday,saturday,35
0.5,Saturday,saturday,36
0.5,Saturday,saturday,37
0.5,Saturday,saturday,38
0.5,Saturday,saturday,39
0.5,Saturday,saturday,40
0.5,Saturday,saturday,41
0.5,Saturday,saturday,42
0.5,Sunday,sunday,43
0.5,Saturday,saturday,44
0.5,Saturday,saturday,45
0.5,Saturday,saturday,46
0.5,Sunday,sunday,47
0.5,Sunday,sunday,48
0.5,Saturday,saturday,49
0.5,Sunday,sunday,50
1.0,Saturday,saturday,1
1.0,Sunday,sunday,2
1.0,Saturday,saturday,3
1.0,Sunday,sunday,4
1.0,Saturday,saturday,5
1.0,Saturday,saturday,6
1.0,Sunday,sunday,7
1.0,Saturday,saturday,8
1.0,Saturday,saturday,9
1.0,Saturday,saturday,10
1.0,Sunday,sunday,11
1.0,Saturday,saturday,12
1.0,Saturday,saturday,13
1.0,Sunday,sunday,14
1.0,Saturday,saturday,15
1.0,Sunday,sunday,16
1.0,Sunday,sunday,17
1.0,Sunday,sunday,18
1.0,Saturday,saturday,19
1.0,Saturday,saturday,20
1.0,Sunday,sunday,21
1.0,Sunday,sunday,22
1.0,Saturday,saturday,23
1.0,Sunday,sunday,24
1.0,Saturday,saturday,25
1.0,Sunday,sunday,26
1.0,Sunday,sunday,27
1.0,Sunday,sunday,28
1.0,Saturday,saturday,29
1.0,Saturday,saturday,30
1.0,Sunday,sunday,31
1.0,Sunday,sunday,32
1.0,Saturday,saturday,33
1.0,Saturday,saturday,34
1.0,Saturday,saturday,35
1.0,Saturday,saturday,36
1.0,Saturday,saturday,37
1.0,Sunday,sunday,38
1.0,Saturday,saturday,39
1.0,Sunday,sunday,40
1.0,Saturday,saturday,41
1.0,Saturday,saturday,42
1.0,Sunday,sunday,43
1.0,Saturday,saturday,44
1.0,Saturday,saturday,45
1.0,Sunday,sunday,46
1.0,Saturday,saturday,47
1.0,Saturday,saturday,48
1.0,Saturday,saturday,49
1.0,Saturday,saturday,50
1.5,Sunday,sunday,1
1.5,Sunday,sunday,2
1.5,Saturday,saturday,3
1.5,Saturday,saturday,4
1.5,Sunday,sunday,5
1.5,Sunday,sunday,6
1.5,Sunday,sunday,7
1.5,Sunday,sunday,8
1.5,Saturday,saturday,9
1.5,Sunday,sunday,10
1.5,Saturday,saturday,11
1.5,Sunday,sunday,12
1.5,Sunday,sunday,13
1.5,Saturday,saturday,14
1.5,Sunday,sunday,15
1.5,Saturday,saturday,16
1.5,Sunday,sunday,17
1.5,Saturday,saturday,18
1.5,Saturday,saturday,19
1.5,Sunday,sunday,20
1.5,Saturday,saturday,21
1.5,Saturday,saturday,22
1.5,Sunday,sunday,23
1.5,Saturday,saturday,24
1.5,Sunday,sunday,25
1.5,Saturday,saturday,26
1.5,Saturday,saturday,27
1.5,Sunday,sunday,28
1.5,Sunday,sunday,29
1.5,Saturday,saturday,30
1.5,Saturday,saturday,31
1.5,Sunday,sunday,32
1.5,Sunday,sunday,33
1.5,Sunday,sunday,34
1.5,Saturday,saturday,35
1.5,Saturday,saturday,36
1.5,Saturday,saturday,37
1.5,Saturday,saturday,38
1.5,Sunday,sunday,39
1.5,Saturday,saturday,40
1.5,Saturday,saturday,41
1.5,Sunday,sunday,42
1.5,Saturday,saturday,43
1.5,Saturday,saturday,44
1.5,Saturday,saturday,45
1.5,Sunday,sunday,46
1.5,Saturday,saturday,47
1.5,Sunday,sunday,48
1.5,Sunday,sunday,49
1.5,Saturday,saturday,50
2.0,Saturday,saturday,1
2.0,Saturday,saturday,2
2.0,Saturday,saturday,3
2.0,Sunday,sunday,4
2.0,Saturday,saturday,5
2.0,Sunday,sunday,6
2.0,Saturday,saturday,7
2.0,Sunday,sunday,8
2.0,Saturday,saturday,9
2.0,Saturday,saturday,10
2.0,Saturday,saturday,11
2.0,Saturday,saturday,12
2.0,Sunday,sunday,13
2.0,Saturday,saturday,14
2.0,Saturday,saturday,15
2.0,Saturday,saturday,16
2.0,Sunday,sunday,17
2.0,Sunday,sunday,18
2.0,Saturday,saturday,19
2.0,Saturday,saturday,20
2.0,Sunday,sunday,21
2.0,Sunday,sunday,22
2.0,Sunday,sunday,23
2.0,Saturday,saturday,24
2.0,Sunday,sunday,25
2.0,Sunday,sunday,26
2.0,Sunday,sunday,27
2.0,Sunday,sunday,28
2.0,Saturday,saturday,29
2.0,Saturday,saturday,30
2.0,Sunday,sunday,31
2.0,Sunday,sunday,32
2.0,Saturday,saturday,33
2.0,Sunday,sunday,34
2.0,Sunday,sunday,35
2.0,Sunday,sunday,36
2.0,Sunday,sunday,37
2.0,Saturday,saturday,38
2.0,Sunday,sunday,39
2.0,Sunday,sunday,40
2.0,Saturday,saturday,41
2.0,Saturday,saturday,42
2.0,Saturday,saturday,43
2.0,Saturday,saturday,44
2.0,Saturday,saturday,45
2.0,Sunday,sunday,46
2.0,Sunday,sunday,47
2.0,Sunday,sunday,48
2.0,Saturday,saturday,49
2.0,Sunday,sunday,50
2.5,Saturday,saturday,1
2.5,Sunday,sunday,2
2.5,Sunday,sunday,3
2.5,Sunday,sunday,4
2.5,Saturday,saturday,5
2.5,Saturday,saturday,6
2.5,Sunday,sunday,7
2.5,Sunday,sunday,8
2.5,Saturday,saturday,9
2.5,Sunday,sunday,10
2.5,Saturday,saturday,11
2.5,Saturday,saturday,12
2.5,Saturday,saturday,13
2.5,Saturday,saturday,14
