question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Ape,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,1,Aardvark,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,2,Alpaca,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,3,Alpaca,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,4,Alligator,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,0,Architect,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,1,Astronomer,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,2,Astronaut,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,3,Astronaut,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,4,Architect,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,0,Blueberry,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,1,Blackberry,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,2,Banana,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,3,Banana,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,4,Blackberry,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,0,Barbecue,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,1,banana,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,2,Ball,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,3,banana,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,4,Beret,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,0,China,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,1,Cameroon,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,2,Cameroon,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,3,Cameroon,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,4,Cameroon,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,0,Cluedo,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,1,Cluedo,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,2,Clue,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,3,Chess,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,4,CandyLand,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,0,Drums,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,1,Doublas,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,2,Darimba,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,3,Didjeridoo,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,4,Didgeridoo,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,drainage,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,1,Disposable,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,2,Drain,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,3,Drainer,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,4,Drain,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,0,equestrian,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,1,Equestrian,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,2,Equestrian,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,3,Equestrian,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,4,equestrian,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,0,Eragon,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,1,Eternal sunshine of the spotless mind,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,2,Edward Scissorhands,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,3,Edward Scissorhands,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,4,Eragon,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,0,Fishes,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,1,Fantail,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,2,Fugu,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,3,Fluke,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,4,Flounder,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,0,Frisbee,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,1,Fanny,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,2,Fanny pack,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,3,Fanny,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,4,Flashlight,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,0,Georgia,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,1,Georgia,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,2,Georgia,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,3,Georgia,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,4,Georgia,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,0,Grape,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,1,Grapefruit,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,2,Gummi bears,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,3,Gourmet,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,4,Gourmet popcorn,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,0,Henrietta L. Webb,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,1,Hegel,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,2,Higgs,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,3,Hershel Hertzsprung,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,4,Herostratus,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q016,H,Things at the beach,0,Hobnob,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q016,H,Things at the beach,1,Hemisphere,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q016,H,Things at the beach,2,Hose,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q016,H,Things at the beach,3,Horseshoe,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q016,H,Things at the beach,4,Humbrella,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q017,I,Cities,0,Istanbul,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q017,I,Cities,1,Istanbul,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q017,I,Cities,2,Iceland,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q017,I,Cities,3,Istanbul,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q017,I,Cities,4,Istanbul,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,0,Interactive whiteboard,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,1,Inspector,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,2,i pad,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,3,Inspecting light,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q018,I,Things in a classroom,4,impresora,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q019,J,Car brands,0,Jaguar,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q019,J,Car brands,1,Jaguar,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q019,J,Car brands,2,Jeep,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q019,J,Car brands,3,jaguar,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q019,J,Car brands,4,jaguar,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q020,J,Video game titles,0,JetSetRadio,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q020,J,Video game titles,1,jetpack joe,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q020,J,Video game titles,2,Jak And Daxter,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q020,J,Video game titles,3,Just Dance,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q020,J,Video game titles,4,jetset radio,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q021,K,Superheroes,0,Kilgharrah,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q021,K,Superheroes,1,Katana,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q021,K,Superheroes,2,Ka-Zar,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q021,K,Superheroes,3,Katanan,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q021,K,Superheroes,4,Kilow,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,0,Kidney beans,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,1,Kiwi,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,2,Kernel,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,3,Kool Aid,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q022,K,Things in a grocery store,4,Keto bread,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q023,L,Dog breeds,0,Lakeland Terrier,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q023,L,Dog breeds,1,Lhasa Apso,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q023,L,Dog breeds,2,LhasaAiredale,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q023,L,Dog breeds,3,LhasaApso,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q023,L,Dog breeds,4,labrador,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q024,L,Books,0,Love letters,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q024,L,Books,1,LeavingNormal,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q024,L,Books,2,Life's library,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q024,L,Books,3,Leaves,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q024,L,Books,4,laughter in writing,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q025,M,Languages,0,Malay,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q025,M,Languages,1,Malay,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q025,M,Languages,2,Mandarin,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q025,M,Languages,3,Mandarin,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q025,M,Languages,4,Mandarin,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q026,M,Clothing items,0,Monkeysuit,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q026,M,Clothing items,1,Manners,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q026,M,Clothing items,2,Mitts,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q026,M,Clothing items,3,Matches,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q026,M,Clothing items,4,Matches,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q027,N,Birds,0,Nightingale,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q027,N,Birds,1,Nightingale,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q027,N,Birds,2,Nightingale,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
Q027,N,Birds,3,Northern cardinal,gemma2:2b,gemma_Player_2_opt_20,2.0,40,baseline
