question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Albatross,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q001,A,Animals,1,Aardvark,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q001,A,Animals,2,Alakazanga,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q001,A,Animals,3,Aardvark,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q001,A,Animals,4,Axolotl,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q002,A,Jobs,0,Alabaster cutter,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q002,A,Jobs,1,Alabaster carver,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q002,A,Jobs,2,Ale-wife,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q002,A,Jobs,3,Apothecary,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q002,A,Jobs,4,Apothecary,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q003,B,Fruits,0,Biluochun,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q003,B,Fruits,1,Banzoika,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q003,B,Fruits,2,Bacaba,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q003,B,Fruits,3,Buchu Berry,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q003,B,Fruits,4,Bromelia fruit,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q004,B,Things that are red,0,Blood-orange blossom,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q004,B,Things that are red,1,Blood orange,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q004,B,Things that are red,2,Blood orchid,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q004,B,Things that are red,3,Bloodworm,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q004,B,Things that are red,4,Bloodberry,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q005,C,Countries,0,Comoros,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q005,C,Countries,1,Comoros,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q005,C,Countries,2,Cocos (Keeling) Islands,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q005,C,Countries,3,Cyclades,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q005,C,Countries,4,Comoros,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q006,C,Board games,0,Centervention,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q006,C,Board games,1,Camaraderie Quest,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q006,C,Board games,2,Clan Castles,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q006,C,Board games,3,Clockwork Diplomacy,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q006,C,Board games,4,Chang Kang-Kuo,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,0,Didgeridoo,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,1,Didgeridoo,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,2,Didgeridoo,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,3,Didgeridoo,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,4,Didgeridoo,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,dishcloth,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,1,Doorstop,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,2,DivingHelmet,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,3,Dew cleaner,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,4,doorstop,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q009,E,Sports,0,Escalator Polo,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q009,E,Sports,1,Epispasmia racing,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q009,E,Sports,2,Epistaxisologia,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q009,E,Sports,3,"Equestrianismane>"").",qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q009,E,Sports,4,Escalator Polo,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q010,E,Movie titles,0,Echoes of Earth,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q010,E,Movie titles,1,Eli芡汁小子,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q010,E,Movie titles,2,Eerie Eyelessness,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q010,E,Movie titles,3,Exodus: Tale of the Exodus Boys,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q010,E,Movie titles,4,Exotica,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q011,F,Fish,0,Frillfish,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q011,F,Fish,1,Flacucho,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q011,F,Fish,2,Fangtooth,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q011,F,Fish,3,Fangtooth,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q011,F,Fish,4,FlounderspecificallytheBigscalesflounder,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,0,frustration-crystal-amulet,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,1,friction strip,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,2,foldedファンタジー Origami fox,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,3,Fernet瓶,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,4,Feather笔触 Feather Pen,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q013,G,U.S. states,0,Georgia Gulf States University,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q013,G,U.S. states,1,Georgia,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q013,G,U.S. states,2,Georgia Gulf States Univ,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q013,G,U.S. states,3,Georgia Gazetteettes,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q013,G,U.S. states,4,Guam,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q014,G,Foods,0,Gruyère cheese,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q014,G,Foods,1,Geldermilm,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q014,G,Foods,2,Gelatinous worm grilled treat,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q014,G,Foods,3,Gruyère,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q014,G,Foods,4,Gyros Leaf,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
Q015,H,Famous scientists,0,Heinrich Wilhelm Emil Herrick,qwen2.5:7b,qwen_obscure_20,2.0,40,baseline
