source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q001,A,Animals,0,Albatross,albatross,1,0,1,Q001::0
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q001,A,Animals,1,Aardvark,aardvark,1,0,1,Q001::1
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q001,A,Animals,2,Alakazanga,alakazanga,0,0,0,Q001::2
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q001,A,Animals,3,Aardvark,aardvark,1,0,1,Q001::3
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q001,A,Animals,4,Axolotl,axolotl,1,0,1,Q001::4
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q002,A,Jobs,0,Alabaster cutter,alabaster cutter,0,0,0,Q002::0
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q002,A,Jobs,1,Alabaster carver,alabaster carver,0,0,0,Q002::1
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q002,A,Jobs,2,Ale-wife,ale-wife,0,0,0,Q002::2
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q002,A,Jobs,3,Apothecary,apothecary,1,0,1,Q002::3
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q002,A,Jobs,4,Apothecary,apothecary,1,0,1,Q002::4
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q003,B,Fruits,0,Biluochun,biluochun,0,0,0,Q003::0
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q003,B,Fruits,1,Banzoika,banzoika,0,0,0,Q003::1
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q003,B,Fruits,2,Bacaba,bacaba,0,0,0,Q003::2
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q003,B,Fruits,3,Buchu Berry,buchu berry,0,0,0,Q003::3
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q003,B,Fruits,4,Bromelia fruit,bromelia fruit,0,0,0,Q003::4
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q004,B,Things that are red,0,Blood-orange blossom,blood-orange blossom,0,0,0,Q004::0
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q004,B,Things that are red,1,Blood orange,blood orange,1,0,1,Q004::1
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q004,B,Things that are red,2,Blood orchid,blood orchid,0,0,0,Q004::2
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q004,B,Things that are red,3,Bloodworm,bloodworm,0,0,0,Q004::3
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q004,B,Things that are red,4,Bloodberry,bloodberry,0,0,0,Q004::4
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q005,C,Countries,0,Comoros,comoros,1,0,1,Q005::0
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q005,C,Countries,1,Comoros,comoros,1,0,1,Q005::1
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q005,C,Countries,2,Cocos (Keeling) Islands,cocos (keeling) islands,1,0,1,Q005::2
part3_crossplay_outputs/obscure_20_qwen.csv,obscure_20_qwen,Q005,C,Countries,3,Cyclades,cyclades,0,0,0,Q005::3
