question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Axolotl,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,1,Ailurus,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,2,Ailuravictis,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,3,Aye-Aye,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q001,A,Animals,4,Ailurus fulgens,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,0,Architectural Woodcarver,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,1,Archivist of Ancient Manuscripts,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,2,Aboriginal Protector,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,3,Achaeology,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q002,A,Jobs,4,Alpine Skier,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,0,Bilima,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,1,Bladderhorn Guava,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,2,Yubari King Melon,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,3,Barbatia,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q003,B,Fruits,4,BurITA,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,0,Bloodstone,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,1,Brickellium,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,2,Brachiopods,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,3,Bleached bamboo shoot,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q004,B,Things that are red,4,Burmese red breasted flycatcher,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,0,Caboverde,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,1,Cambodia,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,2,Congo Brazzaville,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,3,Congo Brazzaville,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q005,C,Countries,4,Cocody,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,0,Carcosa,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,1,Castles of Burgundy,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,2,Cosmos,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,3,Concordia,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q006,C,Board games,4,Crypta Tiroin,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,0,Darabuka,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,1,Daichen,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,2,Dulcimer,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,3,Darabuka,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q007,D,Musical instruments,4,Didjeridu,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,Dust mask,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,1,Demodectic mite traps,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,2,Dryer lint catcher,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,3,Demodectic folliculitis,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q008,D,Things in a bathroom,4,Demodex mite,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q009,E,Sports,0,Estafetica,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q009,E,Sports,1,Exmoor Boxing,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q009,E,Sports,2,"Esports  isn't sport, so I choose Escoccer.",llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q009,E,Sports,3,Escrima,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q009,E,Sports,4,Equestrinan,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q010,E,Movie titles,0,Elevator to the Gallows,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q010,E,Movie titles,1,Eastern Promises,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q010,E,Movie titles,2,Elektra  (1962),llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q010,E,Movie titles,3,eXistenZ,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q010,E,Movie titles,4,Elevator to the Moon,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q011,F,Fish,0,Frankean Shad,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q011,F,Fish,1,Fluminiscus,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q011,F,Fish,2,Florentine Channel Catfish,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q011,F,Fish,3,Flannigeria,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q011,F,Fish,4,Franzi's gudgeon,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,0,Flora Presses,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,1,Fault line detector,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,2,Flares,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,3,Foldable first aid kit,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q012,F,Things in a backpack,4,Fault line gauge,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q013,G,U.S. states,0,Guam,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q013,G,U.S. states,1,Guam,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q013,G,U.S. states,2,Guam,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q013,G,U.S. states,3,Georgia's neighboring state that starts with the letter G and is rarely mentioned in everyday,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q013,G,U.S. states,4,Guam,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q014,G,Foods,0,Gjetost,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q014,G,Foods,1,Guanabana jam,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q014,G,Foods,2,Gjetost,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q014,G,Foods,3,Guanabana,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q014,G,Foods,4,Guanabana fruit,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q015,H,Famous scientists,0,Henri Poincaré,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q015,H,Famous scientists,1,Hiram Maxims,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q015,H,Famous scientists,2,Hans Halberstadt,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q015,H,Famous scientists,3,Hortatorius Janssen,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q015,H,Famous scientists,4,Heike Koster,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q016,H,Things at the beach,0,Hydroids,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q016,H,Things at the beach,1,Hydrofoils,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q016,H,Things at the beach,2,Hydrozoans,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q016,H,Things at the beach,3,Hawaiian hula hoop,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q016,H,Things at the beach,4,Hydrothermal vents,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q017,I,Cities,0,Isfara,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q017,I,Cities,1,Imberton,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q017,I,Cities,2,Ishigaki,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q017,I,Cities,3,"Ios, Turkey",llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q017,I,Cities,4,Itabashi,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q018,I,Things in a classroom,0,Intercom system,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q018,I,Things in a classroom,1,Incubator,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q018,I,Things in a classroom,2,International Phonetic Alphabet chart,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q018,I,Things in a classroom,3,Ichthyoiconography textbooks,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q018,I,Things in a classroom,4,Interloper,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q019,J,Car brands,0,Jaguar Jensen,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q019,J,Car brands,1,Jagow,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q019,J,Car brands,2,Jagdwagen,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q019,J,Car brands,3,Jagdwagen,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q019,J,Car brands,4,Jagow,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q020,J,Video game titles,0,Jawbreaker,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q020,J,Video game titles,1,Joystick Joe's Arena,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q020,J,Video game titles,2,Juicebox Fighter,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q020,J,Video game titles,3,Journey Downside,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q020,J,Video game titles,4,Jofflifter,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q021,K,Superheroes,0,King Thanos,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q021,K,Superheroes,1,Killagrace,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q021,K,Superheroes,2,Killjoy,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q021,K,Superheroes,3,King Midas Man,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q021,K,Superheroes,4,Kalidor,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q022,K,Things in a grocery store,0,KitchenAid stand mixers,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q022,K,Things in a grocery store,1,Kolaches,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q022,K,Things in a grocery store,2,Key Lime Gummies,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q022,K,Things in a grocery store,3,Kolache Mix,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q022,K,Things in a grocery store,4,Kyochiku pickled ginger,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q023,L,Dog breeds,0,Limoux,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q023,L,Dog breeds,1,Lyrian Shepherd,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q023,L,Dog breeds,2,Leonberger,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q023,L,Dog breeds,3,Lebanon Sheepdog,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q023,L,Dog breeds,4,Latvian Hound,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q024,L,Books,0,Lyrisches Leben,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q024,L,Books,1,Lethologica,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q024,L,Books,2,L'Amant,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q024,L,Books,3,Lascaux Man Book by Maurice Lenoir,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q024,L,Books,4,Lavrador of Antwerp,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q025,M,Languages,0,Mbumji,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q025,M,Languages,1,Maalee,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q025,M,Languages,2,Mandingo,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q025,M,Languages,3,Maori,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q025,M,Languages,4,Mborung,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q026,M,Clothing items,0,Mongolian woolen cloak,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q026,M,Clothing items,1,Miwata,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q026,M,Clothing items,2,Monk's habit,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q026,M,Clothing items,3,Mokoro Vest,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q026,M,Clothing items,4,Mantua cape,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q027,N,Birds,0,Naktia,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q027,N,Birds,1,Ninox burrowi,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q027,N,Birds,2,Nicobar Pigeon,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q027,N,Birds,3,Nicobar Pigeon,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q027,N,Birds,4,Nauruh,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q028,N,Things in a hospital,0,Neonatal Intensive Care Unit,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q028,N,Things in a hospital,1,Neuromonitoring system,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q028,N,Things in a hospital,2,Nucleoscope,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q028,N,Things in a hospital,3,Neonatologist,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
Q028,N,Things in a hospital,4,Negative pressure room,llama3.2:3b,llama_Player_1_Obscure_obscure_20,2.0,40,baseline
