question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,1,Alligator,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,2,Alligator,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,3,Aardvark,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,4,Aardvark,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,0,Architect,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,1,Accountant,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,2,Accountant,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,3,Actor,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,4,Actuary,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,0,Blueberry,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,1,Boysenberry,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,2,Blood Orange,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,3,Blueberry,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,4,Boysenberry,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,0,Bingo,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,1,Blood,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,2,Beetroot,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,3,Brick,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,4,Beetroot,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,0,Canada,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,1,Canada,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,2,Congo,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,3,Canada,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,4,China,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,0,Carcassonne,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,1,Connect 4,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,2,Cranium,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,3,Carcassonne,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,4,Chess,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,0,Double Bass,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,1,Drums,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,2,Dulcimer,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,3,Drums,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q007,D,Musical instruments,4,Double Bass,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,0,Drink,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,1,Drain,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,2,Dampness,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,3,Dryer,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q008,D,Things in a bathroom,4,Dental Floss,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,0,Equestrian,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,1,Equestrian,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,2,Equestrian,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,3,Espresso,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q009,E,Sports,4,Espresso isn't the answer -  Exercise wasn't in categories... Boxing,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,0,Edward Scissorhands,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,1,Edward Scissorhands,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,2,Edge of Tomorrow,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,3,Eternal Sunshine of the Spotless Mind,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q010,E,Movie titles,4,Eternal Sunshine of the Spotless Mind,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,0,Flounder,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,1,Flounder,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,2,Flounder,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,3,Flounder,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q011,F,Fish,4,Flounder,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,0,Fibers,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,1,First aid kit,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,2,Folder,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,3,file,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q012,F,Things in a backpack,4,File Folder,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,0,Georgia,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,1,Georgia,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,2,Georgia,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,3,Georgia,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q013,G,U.S. states,4,Georgia,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,0,Garlic,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,1,Garlic,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,2,Guacamole,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,3,Garlic,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q014,G,Foods,4,Guacamole,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,0,Hugh Everett III,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,1,Hippocrates,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,2,Hugh Everett III,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,3,Harald Blavand,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q015,H,Famous scientists,4,Harold Urey,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q016,H,Things at the beach,0,Horseshoe,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
Q016,H,Things at the beach,1,Horseshoe,llama3.2:3b,llama_Player_2_opt_20,2.0,40,baseline
