question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,gemma2:2b,gemma_default_09,0.9,40,baseline
Q001,A,Animals,1,Alligator,gemma2:2b,gemma_default_09,0.9,40,baseline
Q001,A,Animals,2,Alligator,gemma2:2b,gemma_default_09,0.9,40,baseline
Q001,A,Animals,3,Ape,gemma2:2b,gemma_default_09,0.9,40,baseline
Q001,A,Animals,4,Ant,gemma2:2b,gemma_default_09,0.9,40,baseline
Q002,A,Jobs,0,Architect,gemma2:2b,gemma_default_09,0.9,40,baseline
Q002,A,Jobs,1,Architect,gemma2:2b,gemma_default_09,0.9,40,baseline
Q002,A,Jobs,2,Archivist,gemma2:2b,gemma_default_09,0.9,40,baseline
Q002,A,Jobs,3,Accountant,gemma2:2b,gemma_default_09,0.9,40,baseline
Q002,A,Jobs,4,Air traffic controller,gemma2:2b,gemma_default_09,0.9,40,baseline
Q003,B,Fruits,0,Blackberry,gemma2:2b,gemma_default_09,0.9,40,baseline
Q003,B,Fruits,1,Blackberry,gemma2:2b,gemma_default_09,0.9,40,baseline
Q003,B,Fruits,2,Blackberry,gemma2:2b,gemma_default_09,0.9,40,baseline
Q003,B,Fruits,3,Banana,gemma2:2b,gemma_default_09,0.9,40,baseline
Q003,B,Fruits,4,Blackberry,gemma2:2b,gemma_default_09,0.9,40,baseline
Q004,B,Things that are red,0,Brick,gemma2:2b,gemma_default_09,0.9,40,baseline
Q004,B,Things that are red,1,Bananas,gemma2:2b,gemma_default_09,0.9,40,baseline
Q004,B,Things that are red,2,Baseball,gemma2:2b,gemma_default_09,0.9,40,baseline
Q004,B,Things that are red,3,Banana,gemma2:2b,gemma_default_09,0.9,40,baseline
Q004,B,Things that are red,4,Bananas,gemma2:2b,gemma_default_09,0.9,40,baseline
Q005,C,Countries,0,Cambodia,gemma2:2b,gemma_default_09,0.9,40,baseline
Q005,C,Countries,1,Cambodia,gemma2:2b,gemma_default_09,0.9,40,baseline
Q005,C,Countries,2,Cambodia,gemma2:2b,gemma_default_09,0.9,40,baseline
Q005,C,Countries,3,Cambodia,gemma2:2b,gemma_default_09,0.9,40,baseline
Q005,C,Countries,4,Canada,gemma2:2b,gemma_default_09,0.9,40,baseline
Q006,C,Board games,0,Clue,gemma2:2b,gemma_default_09,0.9,40,baseline
Q006,C,Board games,1,Cluedo,gemma2:2b,gemma_default_09,0.9,40,baseline
Q006,C,Board games,2,Candy land,gemma2:2b,gemma_default_09,0.9,40,baseline
Q006,C,Board games,3,Candy land,gemma2:2b,gemma_default_09,0.9,40,baseline
Q006,C,Board games,4,Chess,gemma2:2b,gemma_default_09,0.9,40,baseline
Q007,D,Musical instruments,0,Didgeridoo,gemma2:2b,gemma_default_09,0.9,40,baseline
Q007,D,Musical instruments,1,Didgeridoo,gemma2:2b,gemma_default_09,0.9,40,baseline
Q007,D,Musical instruments,2,Dulcimer,gemma2:2b,gemma_default_09,0.9,40,baseline
Q007,D,Musical instruments,3,Didgeridoo,gemma2:2b,gemma_default_09,0.9,40,baseline
Q007,D,Musical instruments,4,Djembe,gemma2:2b,gemma_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,0,Drain,gemma2:2b,gemma_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,1,Doorknob,gemma2:2b,gemma_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,2,Drainer,gemma2:2b,gemma_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,3,Drain,gemma2:2b,gemma_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,4,Toothbrush,gemma2:2b,gemma_default_09,0.9,40,baseline
Q009,E,Sports,0,Equestrian,gemma2:2b,gemma_default_09,0.9,40,baseline
Q009,E,Sports,1,Equestrian,gemma2:2b,gemma_default_09,0.9,40,baseline
