question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Antelope,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q001,A,Animals,1,Alpaca,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q001,A,Animals,2,Alpaca,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q001,A,Animals,3,Antelope,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q001,A,Animals,4,Alpaca,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q002,A,Jobs,0,Apple,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q002,A,Jobs,1,Accountant,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q002,A,Jobs,2,Accountant,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q002,A,Jobs,3,Actor,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q002,A,Jobs,4,accountant,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q003,B,Fruits,0,Banana,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q003,B,Fruits,1,Blueberry,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q003,B,Fruits,2,Banana,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q003,B,Fruits,3,Banana,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q003,B,Fruits,4,Banana,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q004,B,Things that are red,0,Berries,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q004,B,Things that are red,1,Berries,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q004,B,Things that are red,2,Berries,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q004,B,Things that are red,3,Berry,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q004,B,Things that are red,4,Berry,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q005,C,Countries,0,Canada,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q005,C,Countries,1,Canada,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q005,C,Countries,2,Canada,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q005,C,Countries,3,Canada,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q005,C,Countries,4,Canada,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q006,C,Board games,0,Clue,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q006,C,Board games,1,Chess,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q006,C,Board games,2,Chess,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q006,C,Board games,3,Chess,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q006,C,Board games,4,Chess,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q007,D,Musical instruments,0,drum,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q007,D,Musical instruments,1,drum,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q007,D,Musical instruments,2,Drum,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q007,D,Musical instruments,3,drum,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q007,D,Musical instruments,4,Drum,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,0,dishcloth,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,1,dishSoap,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,2,door knob,qwen2.5:7b,qwen_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,3,door,qwen2.5:7b,qwen_default_09,0.9,40,baseline
