question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Alligator,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,1,Alligator,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,2,Antelope,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,3,Alpaca,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q001,A,Animals,4,Alligator,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,0,Apple,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,1,Artist,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,2,Artist,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,3,architect,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q002,A,Jobs,4,Accountant,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,0,Banana,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,1,Banana,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,2,Blueberry,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,3,Banana,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q003,B,Fruits,4,Banana,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,0,Berries,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,1,Berries,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,2,Berry,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,3,Berry,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q004,B,Things that are red,4,Berries,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,0,China,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,1,Canada,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,2,Canada,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,3,Canada,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q005,C,Countries,4,Canada,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,0,Chess,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,1,Chess,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,2,Clue,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,3,Clue,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
Q006,C,Board games,4,Chess,qwen2.5:7b,qwen_Player_2_opt_20,2.0,40,baseline
