question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q001,A,Animals,1,Aardvark,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q001,A,Animals,2,Aardvark,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q001,A,Animals,3,Aardvark,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q001,A,Animals,4,Aardvark,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q002,A,Jobs,0,Astronaut,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q002,A,Jobs,1,Actuary,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q002,A,Jobs,2,Astronaut,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q002,A,Jobs,3,Architect,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q002,A,Jobs,4,Architect,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q003,B,Fruits,0,Banana,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q003,B,Fruits,1,Blueberry,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q003,B,Fruits,2,Blood orange,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q003,B,Fruits,3,Blood orange,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q003,B,Fruits,4,Boysenberry,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q004,B,Things that are red,0,Beets,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q004,B,Things that are red,1,Brick,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q004,B,Things that are red,2,Bricks,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q004,B,Things that are red,3,Beets,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q004,B,Things that are red,4,Blood,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q005,C,Countries,0,Canada,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q005,C,Countries,1,Canada,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q005,C,Countries,2,Canada,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q005,C,Countries,3,Canada,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q005,C,Countries,4,China,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q006,C,Board games,0,Carcassonne,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q006,C,Board games,1,Carcassonne,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q006,C,Board games,2,Carcassonne,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q006,C,Board games,3,Carcassonne,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q006,C,Board games,4,Carcassonne,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q007,D,Musical instruments,0,Drums,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q007,D,Musical instruments,1,Dulcimer,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q007,D,Musical instruments,2,Drums,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q007,D,Musical instruments,3,Drums,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q007,D,Musical instruments,4,Drums,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,0,Drain,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,1,Drain,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,2,Damp cloth,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,3,Dish soap,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,4,Dish soap,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q009,E,Sports,0,Equestrian,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q009,E,Sports,1,Equestrian,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q009,E,Sports,2,Equestrian,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q009,E,Sports,3,Equestrian,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q009,E,Sports,4,Equestrian,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q010,E,Movie titles,0,Eternal Sunshine of the Spotless Mind,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q010,E,Movie titles,1,Eternal Sunshine of the Spotless Mind,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q010,E,Movie titles,2,Eternal Sunshine of the Spotless Mind,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q010,E,Movie titles,3,Eternal Sunshine of the Spotless Mind,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q010,E,Movie titles,4,Eternal Sunshine of the Spotless Mind,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q011,F,Fish,0,Flounder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q011,F,Fish,1,Flounder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q011,F,Fish,2,Flounder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q011,F,Fish,3,Flounder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q011,F,Fish,4,Flounder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q012,F,Things in a backpack,0,Folder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q012,F,Things in a backpack,1,Folder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q012,F,Things in a backpack,2,Folder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q012,F,Things in a backpack,3,Folder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q012,F,Things in a backpack,4,Folder,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q013,G,U.S. states,0,Georgia,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q013,G,U.S. states,1,Georgia,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q013,G,U.S. states,2,Georgia,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q013,G,U.S. states,3,Georgia,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q013,G,U.S. states,4,Georgia,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q014,G,Foods,0,Garlic,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q014,G,Foods,1,Grapes,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q014,G,Foods,2,Grapes,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q014,G,Foods,3,Grapes,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q014,G,Foods,4,Guacamole,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q015,H,Famous scientists,0,Hans Bethe,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q015,H,Famous scientists,1,Hans Bethe,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q015,H,Famous scientists,2,Harlow Shapley,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q015,H,Famous scientists,3,Henrietta Leavitt,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q015,H,Famous scientists,4,Hans Bethe,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q016,H,Things at the beach,0,Horseshoe,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q016,H,Things at the beach,1,Hammock,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q016,H,Things at the beach,2,Hammock,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q016,H,Things at the beach,3,Horseshoe,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q016,H,Things at the beach,4,Hammock,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q017,I,Cities,0,Istanbul,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q017,I,Cities,1,Indianapolis,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q017,I,Cities,2,Indianapolis,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q017,I,Cities,3,Istanbul,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q017,I,Cities,4,Indianapolis,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q018,I,Things in a classroom,0,Ibuprofen cabinet,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q018,I,Things in a classroom,1,Ibiza calendar,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
Q018,I,Things in a classroom,2,Index,llama3.2:3b,llama_Player_1_default_09,0.9,40,baseline
