question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Alligator,llama3.2:3b,llama_default_09,0.9,40,baseline
Q001,A,Animals,1,Aardvark,llama3.2:3b,llama_default_09,0.9,40,baseline
Q001,A,Animals,2,Alligator,llama3.2:3b,llama_default_09,0.9,40,baseline
Q001,A,Animals,3,Alligator,llama3.2:3b,llama_default_09,0.9,40,baseline
Q001,A,Animals,4,Aardvark,llama3.2:3b,llama_default_09,0.9,40,baseline
Q002,A,Jobs,0,Actuary,llama3.2:3b,llama_default_09,0.9,40,baseline
Q002,A,Jobs,1,Astronaut,llama3.2:3b,llama_default_09,0.9,40,baseline
Q002,A,Jobs,2,Actuary,llama3.2:3b,llama_default_09,0.9,40,baseline
Q002,A,Jobs,3,Accountant,llama3.2:3b,llama_default_09,0.9,40,baseline
Q002,A,Jobs,4,Actuary,llama3.2:3b,llama_default_09,0.9,40,baseline
Q003,B,Fruits,0,Blueberry,llama3.2:3b,llama_default_09,0.9,40,baseline
Q003,B,Fruits,1,Banana,llama3.2:3b,llama_default_09,0.9,40,baseline
Q003,B,Fruits,2,Banana,llama3.2:3b,llama_default_09,0.9,40,baseline
Q003,B,Fruits,3,Blood orange,llama3.2:3b,llama_default_09,0.9,40,baseline
Q003,B,Fruits,4,Blueberry,llama3.2:3b,llama_default_09,0.9,40,baseline
Q004,B,Things that are red,0,Burgundy,llama3.2:3b,llama_default_09,0.9,40,baseline
Q004,B,Things that are red,1,Blood,llama3.2:3b,llama_default_09,0.9,40,baseline
Q004,B,Things that are red,2,Blood,llama3.2:3b,llama_default_09,0.9,40,baseline
Q004,B,Things that are red,3,Brandy,llama3.2:3b,llama_default_09,0.9,40,baseline
Q004,B,Things that are red,4,Burgundy,llama3.2:3b,llama_default_09,0.9,40,baseline
Q005,C,Countries,0,China,llama3.2:3b,llama_default_09,0.9,40,baseline
Q005,C,Countries,1,Canada,llama3.2:3b,llama_default_09,0.9,40,baseline
Q005,C,Countries,2,Canada,llama3.2:3b,llama_default_09,0.9,40,baseline
Q005,C,Countries,3,Canada,llama3.2:3b,llama_default_09,0.9,40,baseline
Q005,C,Countries,4,Croatia,llama3.2:3b,llama_default_09,0.9,40,baseline
Q006,C,Board games,0,Cranium,llama3.2:3b,llama_default_09,0.9,40,baseline
Q006,C,Board games,1,Carcassonne,llama3.2:3b,llama_default_09,0.9,40,baseline
Q006,C,Board games,2,Cranium,llama3.2:3b,llama_default_09,0.9,40,baseline
Q006,C,Board games,3,Carcassonne,llama3.2:3b,llama_default_09,0.9,40,baseline
Q006,C,Board games,4,Carcassonne,llama3.2:3b,llama_default_09,0.9,40,baseline
Q007,D,Musical instruments,0,Drums,llama3.2:3b,llama_default_09,0.9,40,baseline
Q007,D,Musical instruments,1,Drums,llama3.2:3b,llama_default_09,0.9,40,baseline
Q007,D,Musical instruments,2,Drums,llama3.2:3b,llama_default_09,0.9,40,baseline
Q007,D,Musical instruments,3,Drums,llama3.2:3b,llama_default_09,0.9,40,baseline
Q007,D,Musical instruments,4,Drums,llama3.2:3b,llama_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,0,Dish towel,llama3.2:3b,llama_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,1,Dish soap,llama3.2:3b,llama_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,2,Drain,llama3.2:3b,llama_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,3,Drain,llama3.2:3b,llama_default_09,0.9,40,baseline
Q008,D,Things in a bathroom,4,Dampener,llama3.2:3b,llama_default_09,0.9,40,baseline
Q009,E,Sports,0,Equestrian,llama3.2:3b,llama_default_09,0.9,40,baseline
Q009,E,Sports,1,Equestrian,llama3.2:3b,llama_default_09,0.9,40,baseline
Q009,E,Sports,2,Equestrian,llama3.2:3b,llama_default_09,0.9,40,baseline
Q009,E,Sports,3,Equestrian,llama3.2:3b,llama_default_09,0.9,40,baseline
