question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,Aardvark,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q001,A,Animals,1,Aardvark,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q001,A,Animals,2,Aardvark,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q001,A,Animals,3,Albatross,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q001,A,Animals,4,Albatross,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q002,A,Jobs,0,Alchemist,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q002,A,Jobs,1,Alabaster cutter,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q002,A,Jobs,2,Alchemist,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q002,A,Jobs,3,Alchemist,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q002,A,Jobs,4,Alchemist,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q003,B,Fruits,0,Bromelatra,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q003,B,Fruits,1,Bromelia fruit,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q003,B,Fruits,2,Buchanana,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q003,B,Fruits,3,Bacaba,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q003,B,Fruits,4,Bougainvillea fruit,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q004,B,Things that are red,0,Bloodroot flower,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q004,B,Things that are red,1,Bloodroot,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q004,B,Things that are red,2,Bloodwood knot,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q004,B,Things that are red,3,Bloodwood beanpod,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q004,B,Things that are red,4,Bloodfruit,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q005,C,Countries,0,Comoros,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q005,C,Countries,1,Claytonia,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q005,C,Countries,2,Cocos (Keeling) Islands,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q005,C,Countries,3,Cocos (Keeling) Islands,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q005,C,Countries,4,Cayman Islands,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q006,C,Board games,0,Cryptoclub,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q006,C,Board games,1,Crokinole,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q006,C,Board games,2,Cluedo Morinatégie,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q006,C,Board games,3,Cthulhu Mythology,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q006,C,Board games,4,Chronicles of Chaos,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q007,D,Musical instruments,0,Didgeridoo,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q007,D,Musical instruments,1,Daf Nghosha,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q007,D,Musical instruments,2,Didgeridoo,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q007,D,Musical instruments,3,Didgeridoo,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q007,D,Musical instruments,4,Didgeridoo,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q008,D,Things in a bathroom,0,diving helmet,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q008,D,Things in a bathroom,1,Doorstop,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q008,D,Things in a bathroom,2,Downpipe diverter,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q008,D,Things in a bathroom,3,dish soap,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q008,D,Things in a bathroom,4,Dalandan soap,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q009,E,Sports,0,Escalay,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q009,E,Sports,1,Equestrianvaulting,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q009,E,Sports,2,Espoofs,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q009,E,Sports,3,EquestrianVaulting,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q009,E,Sports,4,Escalator Wrestling,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q010,E,Movie titles,0,Eelworm Vision,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q010,E,Movie titles,1,Exorcism of Erik The Egg,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q010,E,Movie titles,2,Elwah Release,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q010,E,Movie titles,3,Ender's Game,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q010,E,Movie titles,4,Echoes of Red>Selectivo Amnesia,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q011,F,Fish,0,Flabbybspotfish,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q011,F,Fish,1,Fugu,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q011,F,Fish,2,Flabelleria rubropapillosa,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q011,F,Fish,3,Fugu,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q011,F,Fish,4,Flannelmouth Sucker,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q012,F,Things in a backpack,0,fungus specimen,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q012,F,Things in a backpack,1,fusilliUlusiveness,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q012,F,Things in a backpack,2,Felted Fern Cushion,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
Q012,F,Things in a backpack,3,fiddlehead fern,qwen2.5:7b,Player_2_Obscure_opt,2.0,40,baseline
