Gender,Age,Household Income,Education,Location (Census Region),count
Male,18-29,"$0 - $24,999",Less than high school degree,New England,8844
Female,18-29,"$0 - $24,999",Less than high school degree,New England,8064
Male,30-44,"$0 - $24,999",Less than high school degree,New England,12592
Female,30-44,"$0 - $24,999",Less than high school degree,New England,12132
Male,45-60,"$0 - $24,999",Less than high school degree,New England,16367
Female,45-60,"$0 - $24,999",Less than high school degree,New England,17824
Male,> 60,"$0 - $24,999",Less than high school degree,New England,38718
Female,> 60,"$0 - $24,999",Less than high school degree,New England,64922
Male,18-29,"$25,000 - $49,999",Less than high school degree,New England,13295
Female,18-29,"$25,000 - $49,999",Less than high school degree,New England,9514
Male,30-44,"$25,000 - $49,999",Less than high school degree,New England,16113
Female,30-44,"$25,000 - $49,999",Less than high school degree,New England,16293
Male,45-60,"$25,000 - $49,999",Less than high school degree,New England,16311
Female,45-60,"$25,000 - $49,999",Less than high school degree,New England,16050
Male,> 60,"$25,000 - $49,999",Less than high school degree,New England,37820
Female,> 60,"$25,000 - $49,999",Less than high school degree,New England,33144
Male,18-29,"$50,000 - $99,999",Less than high school degree,New England,28536
Female,18-29,"$50,000 - $99,999",Less than high school degree,New England,19477
Male,30-44,"$50,000 - $99,999",Less than high school degree,New England,37151
Female,30-44,"$50,000 - $99,999",Less than high school degree,New England,20701
Male,45-60,"$50,000 - $99,999",Less than high school degree,New England,38890
Female,45-60,"$50,000 - $99,999",Less than high school degree,New England,26065
Male,> 60,"$50,000 - $99,999",Less than high school degree,New England,45498
Female,> 60,"$50,000 - $99,999",Less than high school degree,New England,36598
Male,18-29,"$100,000 - $149,999",Less than high school degree,New England,15893
Female,18-29,"$100,000 - $149,999",Less than high school degree,New England,10649
Male,30-44,"$100,000 - $149,999",Less than high school degree,New England,21836
Female,30-44,"$100,000 - $149,999",Less than high school degree,New England,14997
Male,45-60,"$100,000 - $149,999",Less than high school degree,New England,26596
Female,45-60,"$100,000 - $149,999",Less than high school degree,New England,18204
Male,> 60,"$100,000 - $149,999",Less than high school degree,New England,19096
Female,> 60,"$100,000 - $149,999",Less than high school degree,New England,21027
Male,18-29,"$150,000+",Less than high school degree,New England,29527
Female,18-29,"$150,000+",Less than high school degree,New England,23911
Male,30-44,"$150,000+",Less than high school degree,New England,25797
Female,30-44,"$150,000+",Less than high school degree,New England,14265
Male,45-60,"$150,000+",Less than high school degree,New England,26568
Female,45-60,"$150,000+",Less than high school degree,New England,18025
Male,> 60,"$150,000+",Less than high school degree,New England,19936
Female,> 60,"$150,000+",Less than high school degree,New England,26246
Male,18-29,"$0 - $24,999",High school degree,New England,21563
Female,18-29,"$0 - $24,999",High school degree,New England,26114
Male,30-44,"$0 - $24,999",High school degree,New England,22393
Female,30-44,"$0 - $24,999",High school degree,New England,32416
Male,45-60,"$0 - $24,999",High school degree,New England,26069
Female,45-60,"$0 - $24,999",High school degree,New England,34670
Male,> 60,"$0 - $24,999",High school degree,New England,59904
Female,> 60,"$0 - $24,999",High school degree,New England,112216
Male,18-29,"$25,000 - $49,999",High school degree,New England,41544
Female,18-29,"$25,000 - $49,999",High school degree,New England,32391
Male,30-44,"$25,000 - $49,999",High school degree,New England,40019
Female,30-44,"$25,000 - $49,999",High school degree,New England,41276
Male,45-60,"$25,000 - $49,999",High school degree,New England,42595
Female,45-60,"$25,000 - $49,999",High school degree,New England,45395
Male,> 60,"$25,000 - $49,999",High school degree,New England,88360
Female,> 60,"$25,000 - $49,999",High school degree,New England,124185
Male,18-29,"$50,000 - $99,999",High school degree,New England,105905
Female,18-29,"$50,000 - $99,999",High school degree,New England,72259
Male,30-44,"$50,000 - $99,999",High school degree,New England,109739
Female,30-44,"$50,000 - $99,999",High school degree,New England,80866
Male,45-60,"$50,000 - $99,999",High school degree,New England,111003
Female,45-60,"$50,000 - $99,999",High school degree,New England,86604
Male,> 60,"$50,000 - $99,999",High school degree,New England,152163
